,index,day,open,high,low,close,10,60,250
0,668,2020-11-10 10:30:00,59.0,59.16,57.51,58.38,,,
1,669,2020-11-10 11:30:00,58.38,59.08,58.32,58.84,,,
2,670,2020-11-10 14:00:00,58.85,58.85,57.67,57.71,,,
3,671,2020-11-10 15:00:00,57.7,58.28,57.7,58.11,,,
4,672,2020-11-11 10:30:00,57.96,58.47,57.1,57.12,,,
5,673,2020-11-11 11:30:00,57.12,57.81,56.8,57.36,,,
6,674,2020-11-11 14:00:00,57.35,57.44,56.81,56.88,,,
7,675,2020-11-11 15:00:00,56.88,57.0,56.69,56.7,,,
8,676,2020-11-12 10:30:00,57.36,57.76,56.92,57.05,,,
9,677,2020-11-12 11:30:00,57.06,57.29,56.89,57.16,57.53099999999999,,
10,678,2020-11-12 14:00:00,57.15,57.23,56.76,57.02,57.394999999999996,,
11,679,2020-11-12 15:00:00,57.02,57.2,56.88,57.05,57.21599999999999,,
12,680,2020-11-13 10:30:00,57.05,57.3,56.1,56.63,57.10799999999998,,
13,681,2020-11-13 11:30:00,56.63,56.8,56.25,56.71,56.96799999999998,,
14,682,2020-11-13 14:00:00,56.7,56.72,55.51,55.63,56.81899999999998,,
15,683,2020-11-13 15:00:00,55.64,56.1,55.6,55.87,56.66999999999998,,
16,684,2020-11-16 10:30:00,55.87,55.87,51.17,52.6,56.24199999999998,,
17,685,2020-11-16 11:30:00,52.6,53.18,52.23,52.33,55.804999999999986,,
18,686,2020-11-16 14:00:00,52.34,53.08,51.99,52.27,55.326999999999984,,
19,687,2020-11-16 15:00:00,52.27,52.79,52.2,52.79,54.889999999999986,,
20,688,2020-11-17 10:30:00,52.0,52.5,50.55,50.61,54.24899999999999,,
21,689,2020-11-17 11:30:00,50.65,52.47,50.4,51.85,53.729,,
22,690,2020-11-17 14:00:00,51.86,52.25,51.13,52.06,53.27199999999999,,
23,691,2020-11-17 15:00:00,52.06,53.49,52.0,53.38,52.938999999999986,,
24,692,2020-11-18 10:30:00,52.68,52.9,51.9,52.1,52.58599999999999,,
25,693,2020-11-18 11:30:00,52.1,52.28,51.7,52.07,52.205999999999996,,
26,694,2020-11-18 14:00:00,52.07,52.48,51.82,52.36,52.181999999999995,,
27,695,2020-11-18 15:00:00,52.36,52.88,52.22,52.43,52.191999999999986,,
28,696,2020-11-19 10:30:00,52.44,52.89,51.72,52.06,52.17099999999998,,
29,697,2020-11-19 11:30:00,52.06,52.38,52.03,52.15,52.106999999999985,,
30,698,2020-11-19 14:00:00,52.14,52.44,51.82,51.88,52.23399999999998,,
31,699,2020-11-19 15:00:00,51.88,52.22,51.85,52.04,52.25299999999997,,
32,700,2020-11-20 10:30:00,52.3,53.46,51.8,52.56,52.302999999999976,,
33,701,2020-11-20 11:30:00,52.57,52.83,52.41,52.48,52.21299999999998,,
34,702,2020-11-20 14:00:00,52.49,52.53,51.78,52.04,52.20699999999997,,
35,703,2020-11-20 15:00:00,52.03,52.26,51.9,52.18,52.21799999999996,,
36,704,2020-11-23 10:30:00,52.28,52.72,51.48,52.04,52.18599999999996,,
37,705,2020-11-23 11:30:00,52.04,52.05,51.04,51.23,52.06599999999996,,
38,706,2020-11-23 14:00:00,51.23,52.02,51.15,51.69,52.028999999999975,,
39,707,2020-11-23 15:00:00,51.68,51.7,51.29,51.68,51.98199999999997,,
40,708,2020-11-24 10:30:00,51.17,51.48,49.49,50.43,51.83699999999997,,
41,709,2020-11-24 11:30:00,50.43,50.98,50.4,50.79,51.71199999999997,,
42,710,2020-11-24 14:00:00,50.8,51.28,50.71,50.8,51.535999999999966,,
43,711,2020-11-24 15:00:00,50.79,51.1,50.7,50.97,51.38499999999997,,
44,712,2020-11-25 10:30:00,51.45,52.16,50.92,51.22,51.302999999999976,,
45,713,2020-11-25 11:30:00,51.22,51.36,51.0,51.17,51.20199999999998,,
46,714,2020-11-25 14:00:00,51.16,51.36,51.05,51.06,51.10399999999997,,
47,715,2020-11-25 15:00:00,51.06,51.2,50.85,51.08,51.08899999999996,,
48,716,2020-11-26 10:30:00,50.71,50.99,49.22,49.47,50.86699999999997,,
49,717,2020-11-26 11:30:00,49.47,50.22,49.38,49.93,50.691999999999965,,
50,718,2020-11-26 14:00:00,49.95,50.29,49.89,50.28,50.67699999999997,,
51,719,2020-11-26 15:00:00,50.29,50.29,50.16,50.18,50.61599999999997,,
52,720,2020-11-27 10:30:00,50.58,50.93,49.99,50.83,50.618999999999964,,
53,721,2020-11-27 11:30:00,50.88,50.9,50.46,50.49,50.570999999999955,,
54,722,2020-11-27 14:00:00,50.5,50.77,50.2,50.77,50.525999999999954,,
55,723,2020-11-27 15:00:00,50.77,52.1,50.75,52.0,50.60899999999995,,
56,724,2020-11-30 10:30:00,52.77,53.0,52.21,52.74,50.776999999999944,,
57,725,2020-11-30 11:30:00,52.71,52.79,52.18,52.41,50.909999999999954,,
58,726,2020-11-30 14:00:00,52.41,52.75,52.14,52.6,51.22299999999994,,
59,727,2020-11-30 15:00:00,52.65,52.79,51.52,51.69,51.398999999999944,53.10016666666663,
60,728,2020-12-01 10:30:00,52.0,52.28,51.5,52.09,51.57999999999995,52.9953333333333,
61,729,2020-12-01 11:30:00,52.09,52.12,51.53,51.9,51.75199999999995,52.87966666666663,
62,730,2020-12-01 14:00:00,51.88,52.8,51.86,52.57,51.92599999999995,52.79399999999997,
63,731,2020-12-01 15:00:00,52.57,52.87,52.4,52.68,52.144999999999946,52.70349999999996,
64,732,2020-12-02 10:30:00,52.63,52.63,51.25,51.39,52.20699999999995,52.60799999999996,
65,733,2020-12-02 11:30:00,51.39,51.81,51.08,51.43,52.14999999999994,52.50916666666662,
66,734,2020-12-02 14:00:00,51.43,51.76,51.22,51.4,52.01599999999994,52.41783333333329,
67,735,2020-12-02 15:00:00,51.4,51.63,51.31,51.6,51.934999999999945,52.33283333333329,
68,736,2020-12-03 10:30:00,51.4,51.96,51.18,51.3,51.804999999999936,52.23699999999996,
69,737,2020-12-03 11:30:00,51.31,51.9,51.28,51.66,51.80199999999993,52.14533333333329,
70,738,2020-12-03 14:00:00,51.66,51.78,51.2,51.28,51.720999999999925,52.04966666666663,
71,739,2020-12-03 15:00:00,51.28,51.44,51.2,51.27,51.65799999999992,51.95333333333329,
72,740,2020-12-04 10:30:00,51.29,51.6,50.71,51.12,51.51299999999992,51.86149999999996,
73,741,2020-12-04 11:30:00,51.13,51.5,51.08,51.31,51.37599999999992,51.77149999999995,
74,742,2020-12-04 14:00:00,51.31,52.46,51.28,52.04,51.44099999999992,51.711666666666616,
75,743,2020-12-04 15:00:00,52.03,52.31,52.0,52.14,51.51199999999992,51.649499999999954,
76,744,2020-12-07 10:30:00,52.28,52.85,51.8,52.42,51.61399999999992,51.64649999999995,
77,745,2020-12-07 11:30:00,52.43,52.65,52.09,52.22,51.67599999999992,51.644666666666616,
78,746,2020-12-07 14:00:00,52.23,52.88,52.15,52.78,51.82399999999992,51.65316666666662,
79,747,2020-12-07 15:00:00,52.77,52.88,52.6,52.77,51.934999999999924,51.65283333333329,
80,748,2020-12-08 10:30:00,52.94,53.0,52.22,52.61,52.06799999999993,51.68616666666662,
81,749,2020-12-08 11:30:00,52.61,52.72,52.35,52.62,52.20299999999993,51.698999999999955,
82,750,2020-12-08 14:00:00,52.62,52.8,52.34,52.68,52.358999999999924,51.709333333333284,
83,751,2020-12-08 15:00:00,52.68,52.73,52.44,52.55,52.482999999999926,51.69549999999995,
84,752,2020-12-09 10:30:00,53.0,54.84,52.99,54.04,52.68299999999992,51.72783333333329,
85,753,2020-12-09 11:30:00,54.02,54.09,53.68,53.81,52.84999999999992,51.75683333333328,
86,754,2020-12-09 14:00:00,53.82,53.92,53.07,53.23,52.930999999999926,51.77133333333328,
87,755,2020-12-09 15:00:00,53.23,53.66,53.0,53.05,53.01399999999992,51.781666666666624,
88,756,2020-12-10 10:30:00,52.39,52.6,51.35,51.75,52.91099999999992,51.776499999999956,
89,757,2020-12-10 11:30:00,51.75,51.96,51.6,51.68,52.80199999999992,51.76866666666662,
90,758,2020-12-10 14:00:00,51.69,52.13,51.66,51.68,52.70899999999991,51.76533333333328,
91,759,2020-12-10 15:00:00,51.68,52.0,51.58,51.8,52.62699999999991,51.76133333333328,
92,760,2020-12-11 10:30:00,52.0,52.06,51.02,51.03,52.46199999999991,51.73583333333329,
93,761,2020-12-11 11:30:00,51.03,51.19,50.35,50.47,52.25399999999992,51.702333333333286,
94,762,2020-12-11 14:00:00,50.47,50.86,50.3,50.31,51.88099999999993,51.673499999999954,
95,763,2020-12-11 15:00:00,50.31,50.78,50.0,50.68,51.56799999999991,51.64849999999995,
96,764,2020-12-14 10:30:00,50.6,50.77,49.31,49.36,51.18099999999991,51.60383333333329,
97,765,2020-12-14 11:30:00,49.37,49.6,48.8,49.5,50.825999999999915,51.57499999999995,
98,766,2020-12-14 14:00:00,49.48,49.55,49.0,49.08,50.55899999999991,51.53149999999995,
99,767,2020-12-14 15:00:00,49.07,49.9,48.9,49.81,50.371999999999915,51.50033333333329,
100,768,2020-12-15 10:30:00,49.62,49.99,49.32,49.74,50.17799999999991,51.48883333333329,
101,769,2020-12-15 11:30:00,49.74,50.18,49.55,49.87,49.98499999999991,51.47349999999995,
102,770,2020-12-15 14:00:00,49.87,50.65,49.75,50.22,49.903999999999904,51.46383333333328,
103,771,2020-12-15 15:00:00,50.22,50.5,50.18,50.34,49.890999999999906,51.45333333333328,
104,772,2020-12-16 10:30:00,51.4,52.98,51.4,51.86,50.04599999999991,51.463999999999956,
105,773,2020-12-16 11:30:00,51.86,52.2,51.77,51.9,50.16799999999991,51.47616666666662,
106,774,2020-12-16 14:00:00,51.9,52.5,51.65,52.49,50.4809999999999,51.49999999999996,
107,775,2020-12-16 15:00:00,52.5,52.74,52.21,52.33,50.76399999999991,51.520833333333286,
108,776,2020-12-17 10:30:00,52.59,53.16,52.23,52.28,51.083999999999904,51.567666666666625,
109,777,2020-12-17 11:30:00,52.28,52.67,51.77,52.5,51.35299999999991,51.610499999999966,
110,778,2020-12-17 14:00:00,52.5,52.75,51.87,52.29,51.607999999999905,51.64399999999996,
111,779,2020-12-17 15:00:00,52.29,52.55,52.26,52.39,51.8599999999999,51.6808333333333,
112,780,2020-12-18 10:30:00,52.72,52.72,50.7,51.53,51.99099999999989,51.69249999999997,
113,781,2020-12-18 11:30:00,51.52,51.95,51.47,51.78,52.13499999999989,51.71399999999997,
114,782,2020-12-18 14:00:00,51.81,52.1,51.24,51.39,52.08799999999989,51.724333333333306,
115,783,2020-12-18 15:00:00,51.4,51.48,51.25,51.48,52.04599999999989,51.715666666666635,
116,784,2020-12-21 10:30:00,51.02,51.59,50.77,51.58,51.95499999999989,51.69633333333331,
117,785,2020-12-21 11:30:00,51.58,52.33,51.52,52.28,51.94999999999989,51.694166666666646,
118,786,2020-12-21 14:00:00,52.25,52.78,52.23,52.5,51.97199999999989,51.69249999999998,
119,787,2020-12-21 15:00:00,52.5,53.0,52.3,52.92,52.01399999999988,51.71299999999998,
120,788,2020-12-22 10:30:00,52.15,52.49,51.66,52.38,52.02299999999989,51.71783333333331,
121,789,2020-12-22 11:30:00,52.36,53.72,52.21,53.45,52.12899999999989,51.74366666666664,
122,790,2020-12-22 14:00:00,53.46,53.52,52.86,53.27,52.3029999999999,51.755333333333304,
123,791,2020-12-22 15:00:00,53.28,53.28,52.43,52.49,52.373999999999896,51.75216666666664,
124,792,2020-12-23 10:30:00,53.33,54.5,53.22,54.41,52.675999999999895,51.802499999999974,
125,793,2020-12-23 11:30:00,54.4,55.05,54.23,54.9,53.017999999999894,51.86033333333331,
126,794,2020-12-23 14:00:00,54.88,55.1,54.45,54.96,53.355999999999895,51.91966666666664,
127,795,2020-12-23 15:00:00,54.96,55.5,54.79,55.47,53.6749999999999,51.98416666666664,
128,796,2020-12-24 10:30:00,55.48,56.6,54.85,56.36,54.0609999999999,52.06849999999997,
129,797,2020-12-24 11:30:00,56.36,56.77,55.71,55.9,54.3589999999999,52.13916666666664,
130,798,2020-12-24 14:00:00,55.9,56.0,55.25,55.72,54.692999999999905,52.21316666666664,
131,799,2020-12-24 15:00:00,55.7,56.0,55.62,55.73,54.9209999999999,52.28749999999997,
132,800,2020-12-25 10:30:00,56.01,58.22,55.81,57.69,55.3629999999999,52.39699999999997,
133,801,2020-12-25 11:30:00,57.69,58.06,57.59,57.94,55.9079999999999,52.50749999999997,
134,802,2020-12-25 14:00:00,57.94,57.98,57.0,57.16,56.1829999999999,52.5928333333333,
135,803,2020-12-25 15:00:00,57.17,57.2,56.01,56.56,56.3489999999999,52.66649999999997,
136,804,2020-12-28 10:30:00,56.55,56.85,55.23,56.38,56.49099999999989,52.73249999999997,
137,805,2020-12-28 11:30:00,56.39,56.64,55.82,55.89,56.53299999999989,52.793666666666645,
138,806,2020-12-28 14:00:00,55.89,56.12,55.43,55.43,56.439999999999884,52.8378333333333,
139,807,2020-12-28 15:00:00,55.44,55.62,55.21,55.58,56.40799999999989,52.88466666666663,
140,808,2020-12-29 10:30:00,56.17,56.4,54.69,55.26,56.36199999999989,52.9288333333333,
141,809,2020-12-29 11:30:00,55.28,56.36,55.11,55.98,56.38699999999989,52.984833333333306,
142,810,2020-12-29 14:00:00,55.98,56.33,55.6,55.78,56.19599999999989,53.036499999999975,
143,811,2020-12-29 15:00:00,55.79,55.94,55.47,55.5,55.951999999999884,53.08566666666664,
144,812,2020-12-30 10:30:00,55.16821154189745,56.30043237448633,55.16821154189745,56.120078613542965,55.84800786135419,53.12033464355902,
145,813,2020-12-30 11:30:00,56.110058960157225,56.400628908343755,55.418702876541005,55.488840450241206,55.74089190637831,53.14831531772971,
146,814,2020-12-30 14:00:00,55.498860103626946,56.08,55.35858495622655,55.8194890119707,55.684840807575384,53.19147346792922,
147,815,2020-12-30 15:00:00,55.82950866535644,56.29041272110059,55.79944970519921,56.08,55.70384080757539,53.24197346792922,
148,816,2020-12-31 10:30:00,56.0,56.63,55.2,56.55,55.815840807575384,53.32197346792922,
149,817,2020-12-31 11:30:00,56.55,57.14,55.93,56.09,55.866840807575386,53.39547346792923,
150,818,2020-12-31 14:00:00,56.07,56.25,55.86,55.96,55.93684080757539,53.466806801262564,
151,819,2020-12-31 15:00:00,55.96,56.35,55.8,56.12,55.95084080757539,53.53880680126256,
152,820,2021-01-04 10:30:00,55.8,55.9,53.3,53.32,55.704840807575394,53.57697346792922,
153,821,2021-01-04 11:30:00,53.32,54.31,53.04,53.98,55.5528408075754,53.63547346792923,
154,822,2021-01-04 14:00:00,53.98,54.4,53.51,53.64,55.3048329462211,53.690973467929226,
155,823,2021-01-04 15:00:00,53.64,54.09,53.63,54.07,55.16294890119698,53.74747346792923,
156,824,2021-01-05 10:30:00,53.58,55.15,53.35,54.25,55.0059999999999,53.82897346792923,
157,825,2021-01-05 11:30:00,54.24,54.65,53.7,54.11,54.8089999999999,53.905806801262564,
158,826,2021-01-05 14:00:00,54.11,54.9,54.07,54.68,54.6219999999999,53.9991401345959,
159,827,2021-01-05 15:00:00,54.7,56.27,54.59,56.25,54.6379999999999,54.106473467929234,
160,828,2021-01-06 10:30:00,56.33,57.48,55.7,55.95,54.6369999999999,54.20997346792923,
161,829,2021-01-06 11:30:00,55.95,56.22,55.2,55.3,54.55499999999989,54.30047346792924,
162,830,2021-01-06 14:00:00,55.3,55.88,55.0,55.66,54.78899999999989,54.39114013459591,
163,831,2021-01-06 15:00:00,55.66,55.75,55.34,55.56,54.94699999999989,54.478140134595904,
164,832,2021-01-07 10:30:00,55.88,57.36,55.2,57.16,55.298999999999886,54.56647346792923,
165,833,2021-01-07 11:30:00,57.17,58.56,56.95,58.05,55.696999999999875,54.668973467929234,
166,834,2021-01-07 14:00:00,58.05,58.55,57.06,57.57,56.02899999999988,54.753640134595905,
167,835,2021-01-07 15:00:00,57.57,58.5,57.51,58.5,56.46799999999988,54.85647346792924,
168,836,2021-01-08 10:30:00,59.46,61.0,58.9,59.1,56.90999999999989,54.9701401345959,
169,837,2021-01-08 11:30:00,59.1,60.0,59.1,59.22,57.206999999999894,55.082140134595896,
170,838,2021-01-08 14:00:00,59.22,59.98,59.15,59.32,57.54399999999989,55.199306801262566,
171,839,2021-01-08 15:00:00,59.3,60.5,59.1,60.01,58.014999999999894,55.326306801262575,
172,840,2021-01-11 10:30:00,60.01,61.06,58.8,59.13,58.361999999999895,55.45297346792924,
173,841,2021-01-11 11:30:00,59.11,60.5,58.81,59.56,58.7619999999999,55.5826401345959,
174,842,2021-01-11 14:00:00,59.6,60.75,59.33,60.13,59.0589999999999,55.72830680126257,
175,843,2021-01-11 15:00:00,60.13,61.0,59.19,61.0,59.35399999999991,55.88697346792924,
176,844,2021-01-12 10:30:00,60.0,60.62,58.38,59.13,59.5099999999999,56.01280680126258,
177,845,2021-01-12 11:30:00,59.12,59.59,58.92,59.4,59.599999999999895,56.13147346792924,
178,846,2021-01-12 14:00:00,59.39,60.28,59.16,59.99,59.68899999999989,56.25630680126257,
179,847,2021-01-12 15:00:00,59.99,60.44,59.63,60.37,59.803999999999895,56.380473467929235,
180,848,2021-01-13 10:30:00,60.2,62.4,59.66,61.32,60.00399999999989,56.529473467929236,
181,849,2021-01-13 11:30:00,61.3,62.61,60.89,62.0,60.202999999999896,56.671973467929234,
182,850,2021-01-13 14:00:00,62.0,62.6,61.16,61.59,60.4489999999999,56.81064013459591,
183,851,2021-01-13 15:00:00,61.59,62.26,61.27,62.11,60.70399999999991,56.97097346792925,
184,852,2021-01-14 10:30:00,62.31,63.26,59.65,60.9,60.780999999999906,57.07914013459592,
185,853,2021-01-14 11:30:00,60.87,61.8,60.45,60.96,60.77699999999991,57.180140134595916,
186,854,2021-01-14 14:00:00,60.94,61.14,60.15,60.96,60.95999999999991,57.28014013459592,
187,855,2021-01-14 15:00:00,60.92,60.98,59.8,59.82,61.00199999999992,57.35264013459592,
188,856,2021-01-15 10:30:00,59.0,59.88,57.9,58.3,60.83299999999991,57.38497346792926,
189,857,2021-01-15 11:30:00,58.31,58.33,57.0,57.08,60.50399999999992,57.404640134595915,
190,858,2021-01-15 14:00:00,57.14,57.87,56.36,57.86,60.157999999999916,57.440306801262594,
191,859,2021-01-15 15:00:00,57.85,58.02,57.39,57.4,59.69799999999991,57.46814013459593,
192,860,2021-01-18 10:30:00,57.5,58.42,57.5,57.58,59.29699999999991,57.46630680126259,
193,861,2021-01-18 11:30:00,57.59,58.16,57.52,57.98,58.883999999999915,57.46697346792926,
194,862,2021-01-18 14:00:00,57.97,58.88,57.97,58.16,58.609999999999914,57.48364013459592,
195,863,2021-01-18 15:00:00,58.18,58.47,57.86,57.9,58.3039999999999,57.50597346792926,
